timestamp,steps,samples_seen,games,positions,loss,policy_loss,value_loss,top1,top3,puzzle_overall,puzzle_800-1200,puzzle_1200-1600,puzzle_1600-2000,puzzle_2000-2400,puzzle_2400-+
2026-07-10T09:09:28+00:00,131,33298,148,12048,6.795770567516948,6.398158505905506,0.795224153718283,0.0307,0.0664
2026-07-10T10:24:21+00:00,87,21923,60,4608,6.79163615843829,6.480189631966984,0.622892933733323,0.0391,0.0804
2026-07-11T05:24:27+00:00,120,30041,89,6672,6.758993128935496,6.32955942551295,0.8588674068450928,0.033,0.057,0.0608,0.025,0.0417,0.0458,0.0917,0.1
2026-07-11T21:36:20+00:00,134,33610,49,3965,6.657581840242658,6.298734937395368,0.7176937758922577,0.048,0.0808,0.0558,0.025,0.0292,0.0583,0.0917,0.075
2026-07-12T15:15:51+00:00,145,36211,37,2890,6.776275504719127,6.33193133094094,0.8886882554401051,0.0173,0.0311,0.0617,0.025,0.0375,0.0708,0.1083,0.0667
2026-07-12T16:46:25+00:00,263,66012,199,16225,6.557401509120546,6.20323029879866,0.708342464833424,0.0345,0.0734,0.0517,0.0292,0.0375,0.05,0.0792,0.0625
2026-07-12T21:36:23+00:00,357,89664,193,16801,6.3996955553690595,6.047366619110107,0.7046578710277875,0.0607,0.1089,0.0492,0.0125,0.0458,0.0708,0.0708,0.0458
2026-07-13T05:50:50+00:00,509,127996,198,16316,5.97994509236566,5.624399053639379,0.711092045594906,0.0822,0.1619,0.0508,0.0208,0.0417,0.0792,0.0583,0.0542
2026-07-13T09:14:00+00:00,568,142537,193,16001,5.8030545753345155,5.3706743424398855,0.8647604689263461,0.0838,0.1669,0.0642,0.0417,0.0625,0.0958,0.0458,0.075
2026-07-13T09:57:14+00:00,627,157420,194,16536,5.57935441550562,5.1872895208455745,0.7841298095250534,0.0805,0.1803,0.065,0.025,0.0542,0.0875,0.0958,0.0625
2026-07-13T13:02:29+00:00,656,164801,95,8201,5.419664777558426,5.04478436502917,0.7497608291691747,0.078,0.1793,0.0758,0.025,0.0542,0.1125,0.0792,0.1083
2026-07-13T17:23:02+00:00,796,200080,195,14838,5.0222776520927,4.649893535757965,0.7447681865602169,0.0984,0.2057,0.0792,0.0625,0.0792,0.0792,0.0792,0.0958
2026-07-13T21:40:56+00:00,935,235356,91,8314,4.632833194732666,4.266904886563619,0.7318566302458446,0.1107,0.2551,0.0842,0.0542,0.0625,0.1125,0.1125,0.0792
2026-07-14T03:58:51+00:00,989,249082,195,15251,4.767269258145933,4.382488550963225,0.7695613702138265,0.1141,0.2518,0.0792,0.0583,0.0917,0.0958,0.1042,0.0458
2026-07-14T05:12:14+00:00,1126,283460,197,14593,4.452788673914396,4.046963453292847,0.8116504183182349,0.1432,0.2796,0.0967,0.0458,0.0917,0.1125,0.1208,0.1125
2026-07-14T08:53:16+00:00,1193,300044,187,18213,4.290548775746272,3.9329458786891056,0.7152058087862455,0.1488,0.307,0.0883,0.0625,0.1042,0.0667,0.1208,0.0875
2026-07-14T12:00:14+00:00,1246,313432,200,14875,4.488526713173345,4.084064946984345,0.8089235559949335,0.1439,0.2892,0.1042,0.0833,0.0833,0.1167,0.1417,0.0958
2026-07-14T16:38:48+00:00,1421,357877,191,15935,4.2205702631097095,3.8477033774058023,0.7457337431740343,0.1325,0.2756,0.0983,0.0792,0.0667,0.0917,0.1417,0.1125
2026-07-14T21:42:37+00:00,1457,366997,104,10133,4.184302336639828,3.8145528501934476,0.7394989993837144,0.154,0.3119,0.0983,0.075,0.0875,0.0833,0.1292,0.1167
2026-07-15T05:12:20+00:00,1512,380673,31,2975,4.187193220311945,3.809874664653431,0.7546369595961138,0.1414,0.2727,0.0967,0.0708,0.0917,0.0875,0.125,0.1083
2026-07-15T08:58:17+00:00,1515,381069,3,256,4.153767108917236,3.731654644012451,0.844225287437439,0.28,0.48,0.0933,0.0708,0.0875,0.075,0.125,0.1083
2026-07-15T12:04:56+00:00,1568,394079,41,3432,4.208316051042997,3.8011284608107347,0.8143752836264097,0.1691,0.3294,0.1025,0.075,0.0917,0.0917,0.125,0.1292
2026-07-15T16:44:59+00:00,1600,402114,99,8927,4.232878662645817,3.844407193362713,0.7769429199397564,0.1749,0.3352,0.1025,0.0875,0.1,0.1083,0.1292,0.0875
2026-07-15T21:44:03+00:00,1625,408344,82,6922,4.040041055679321,3.6409863567352296,0.7981093549728393,0.1792,0.3223,0.0942,0.0542,0.075,0.0958,0.1375,0.1083
2026-07-16T05:19:01+00:00,1634,410479,32,2372,4.132376220491198,3.6786846584743924,0.9073830644289652,0.2068,0.3797,0.1,0.0708,0.0875,0.1042,0.1292,0.1083
2026-07-16T06:53:32+00:00,1662,417072,100,7114,4.184210942341731,3.7610302980129537,0.8463613001199869,0.1561,0.3108,0.0975,0.0875,0.0958,0.0708,0.125,0.1083
2026-07-16T08:59:03+00:00,1712,429859,182,14207,4.10795560836792,3.7215883255004885,0.7727345669269562,0.1824,0.3472,0.1025,0.0792,0.1083,0.1125,0.1083,0.1042
